Gender,Height,Weight,BMI,Goal,Calories,Workout
Male,191,62,17,Bulking,2480,45
Female,177,155,49.47,Cutting,3875,60
Female,183,50,14.93,Bulking,1750,45
Male,151,114,50,Cutting,3192,60
Male,182,98,29.59,Cutting,2744,60
Female,142,159,78.85,Cutting,3975,60
Female,188,90,25.46,Cutting,2250,60
Male,161,89,34.34,Cutting,2492,60
Male,153,70,29.9,Cutting,1960,60
Male,140,143,72.96,Cutting,4004,60
Male,169,141,49.37,Cutting,3948,60
Female,162,159,60.59,Cutting,3975,60
Male,183,147,43.9,Cutting,4116,60
Female,162,58,22.1,Maintain,1740,30
Female,172,109,36.84,Cutting,2725,60
Female,150,119,52.89,Cutting,2975,60
Female,169,145,50.77,Cutting,3625,60
Female,184,132,38.99,Cutting,3300,60
Male,159,104,41.14,Cutting,2912,60
Male,163,131,49.31,Cutting,3668,60
Male,156,137,56.3,Cutting,3836,60
Female,157,52,21.1,Maintain,1560,30
Male,147,84,38.87,Cutting,2352,60
Male,141,86,43.26,Cutting,2408,60
Male,173,139,46.44,Cutting,3892,60
Male,154,145,61.14,Cutting,4060,60
Male,168,148,52.44,Cutting,4144,60
Male,168,50,17.72,Bulking,2000,45
Male,145,130,61.83,Cutting,3640,60
Male,152,103,44.58,Cutting,2884,60
Female,187,121,34.6,Cutting,3025,60
Female,163,57,21.45,Maintain,1710,30
Male,178,83,26.2,Cutting,2324,60
Female,187,94,26.88,Cutting,2350,60
Female,179,114,35.58,Cutting,2850,60
Male,190,80,22.16,Maintain,2640,30
Male,172,75,25.35,Cutting,2100,60
Male,188,57,16.13,Bulking,2280,45
Male,193,65,17.45,Bulking,2600,45
Female,147,126,58.31,Cutting,3150,60
Female,147,94,43.5,Cutting,2350,60
Male,166,107,38.83,Cutting,2996,60
Female,192,139,37.71,Cutting,3475,60
Male,181,139,42.43,Cutting,3892,60
Male,150,74,32.89,Cutting,2072,60
Male,178,160,50.5,Cutting,4480,60
Female,156,52,21.37,Maintain,1560,30
Male,149,100,45.04,Cutting,2800,60
Male,156,74,30.41,Cutting,2072,60
Male,183,105,31.35,Cutting,2940,60
Female,162,68,25.91,Cutting,1700,60
Female,165,83,30.49,Cutting,2075,60
Female,168,143,50.67,Cutting,3575,60
Male,160,156,60.94,Cutting,4368,60
Female,169,88,30.81,Cutting,2200,60
Female,140,76,38.78,Cutting,1900,60
Female,187,92,26.31,Cutting,2300,60
Male,151,82,35.96,Cutting,2296,60
Female,186,140,40.47,Cutting,3500,60
Male,182,108,32.6,Cutting,3024,60
Male,188,81,22.92,Maintain,2673,30
Male,179,110,34.33,Cutting,3080,60
Female,156,126,51.78,Cutting,3150,60
Male,188,114,32.25,Cutting,3192,60
Male,183,153,45.69,Cutting,4284,60
Male,144,88,42.44,Cutting,2464,60
Male,196,69,17.96,Bulking,2760,45
Male,171,141,48.22,Cutting,3948,60
Male,171,147,50.27,Cutting,4116,60
Female,180,156,48.15,Cutting,3900,60
Male,191,146,40.02,Cutting,4088,60
Female,179,67,20.91,Maintain,2010,30
Female,180,60,18.52,Maintain,1800,30
Female,154,132,55.66,Cutting,3300,60
Male,188,99,28.01,Cutting,2772,60
Male,142,135,66.95,Cutting,3780,60
Male,170,95,32.87,Cutting,2660,60
Male,152,141,61.03,Cutting,3948,60
Female,190,118,32.69,Cutting,2950,60
Female,181,111,33.88,Cutting,2775,60
Male,153,104,44.43,Cutting,2912,60
Male,187,140,40.04,Cutting,3920,60
Female,144,66,31.83,Cutting,1650,60
Female,148,54,24.65,Maintain,1620,30
Female,199,92,23.23,Maintain,2760,30
Female,167,85,30.48,Cutting,2125,60
Female,164,71,26.4,Cutting,1775,60
Female,185,102,29.8,Cutting,2550,60
Female,164,160,59.49,Cutting,4000,60
Male,142,71,35.21,Cutting,1988,60
Male,165,68,24.98,Maintain,2244,30
Female,172,62,20.96,Maintain,1860,30
Female,157,56,22.72,Maintain,1680,30
Male,155,57,23.73,Maintain,1881,30
Female,167,153,54.86,Cutting,3825,60
Female,164,126,46.85,Cutting,3150,60
Female,189,125,34.99,Cutting,3125,60
Female,161,145,55.94,Cutting,3625,60
Female,155,71,29.55,Cutting,1775,60
Female,171,118,40.35,Cutting,2950,60
Female,154,92,38.79,Cutting,2300,60
Male,179,83,25.9,Cutting,2324,60
Male,170,115,39.79,Cutting,3220,60
Female,184,106,31.31,Cutting,2650,60
Female,191,68,18.64,Maintain,2040,30
Male,162,58,22.1,Maintain,1914,30
Male,178,138,43.56,Cutting,3864,60
Female,157,60,24.34,Maintain,1800,30
Male,184,83,24.52,Maintain,2739,30
Male,197,88,22.68,Maintain,2904,30
Female,160,51,19.92,Maintain,1530,30
Male,184,153,45.19,Cutting,4284,60
Male,190,50,13.85,Bulking,2000,45
Male,174,90,29.73,Cutting,2520,60
Female,189,124,34.71,Cutting,3100,60
Female,186,143,41.33,Cutting,3575,60
Female,180,58,17.9,Bulking,2030,45
Female,186,148,42.78,Cutting,3700,60
Female,193,61,16.38,Bulking,2135,45
Male,161,103,39.74,Cutting,2884,60
Female,151,158,69.3,Cutting,3950,60
Female,195,147,38.66,Cutting,3675,60
Female,184,152,44.9,Cutting,3800,60
Male,141,80,40.24,Cutting,2240,60
Female,185,94,27.47,Cutting,2350,60
Female,186,127,36.71,Cutting,3175,60
Male,142,131,64.97,Cutting,3668,60
Female,147,67,31.01,Cutting,1675,60
Male,151,62,27.19,Cutting,1736,60
Female,160,124,48.44,Cutting,3100,60
Male,185,60,17.53,Bulking,2400,45
Female,163,63,23.71,Maintain,1890,30
Male,174,95,31.38,Cutting,2660,60
Female,150,144,64,Cutting,3600,60
Male,142,91,45.13,Cutting,2548,60
Male,178,142,44.82,Cutting,3976,60
Female,154,96,40.48,Cutting,2400,60
Male,176,87,28.09,Cutting,2436,60
Male,159,120,47.47,Cutting,3360,60
Male,191,62,17,Bulking,2480,45
Male,177,117,37.35,Cutting,3276,60
Male,151,154,67.54,Cutting,4312,60
Female,182,149,44.98,Cutting,3725,60
Female,197,72,18.55,Maintain,2160,30
Male,146,138,64.74,Cutting,3864,60
Female,160,83,32.42,Cutting,2075,60
Female,157,66,26.78,Cutting,1650,60
Female,150,50,22.22,Maintain,1500,30
Female,167,58,20.8,Maintain,1740,30
Female,180,70,21.6,Maintain,2100,30
Female,183,76,22.69,Maintain,2280,30
Female,183,87,25.98,Cutting,2175,60
Female,152,154,66.66,Cutting,3850,60
Female,164,71,26.4,Cutting,1775,60
Male,187,96,27.45,Cutting,2688,60
Male,169,136,47.62,Cutting,3808,60
Female,149,61,27.48,Cutting,1525,60
Male,163,137,51.56,Cutting,3836,60
Female,195,104,27.35,Cutting,2600,60
Male,174,107,35.34,Cutting,2996,60
Male,182,70,21.13,Maintain,2310,30
Male,169,110,38.51,Cutting,3080,60
Male,193,130,34.9,Cutting,3640,60
Male,148,141,64.37,Cutting,3948,60
Male,186,68,19.66,Maintain,2244,30
Male,165,143,52.53,Cutting,4004,60
Female,146,123,57.7,Cutting,3075,60
Female,166,133,48.27,Cutting,3325,60
Male,179,56,17.48,Bulking,2240,45
Female,177,101,32.24,Cutting,2525,60
Male,181,154,47.01,Cutting,4312,60
Female,161,154,59.41,Cutting,3850,60
Female,157,103,41.79,Cutting,2575,60
Female,169,98,34.31,Cutting,2450,60
Female,152,114,49.34,Cutting,2850,60
Female,162,64,24.39,Maintain,1920,30
Male,162,130,49.54,Cutting,3640,60
Female,177,61,19.47,Maintain,1830,30
Female,195,61,16.04,Bulking,2135,45
Male,140,146,74.49,Cutting,4088,60
Female,186,146,42.2,Cutting,3650,60
Female,178,107,33.77,Cutting,2675,60
Male,174,54,17.84,Bulking,2160,45
Female,180,59,18.21,Bulking,2065,45
Male,188,141,39.89,Cutting,3948,60
Female,187,130,37.18,Cutting,3250,60
Female,153,77,32.89,Cutting,1925,60
Female,165,95,34.89,Cutting,2375,60
Female,178,79,24.93,Maintain,2370,30
Female,163,154,57.96,Cutting,3850,60
Female,150,97,43.11,Cutting,2425,60
Male,179,127,39.64,Cutting,3556,60
Male,165,62,22.77,Maintain,2046,30
Male,168,158,55.98,Cutting,4424,60
Female,153,133,56.82,Cutting,3325,60
Male,184,157,46.37,Cutting,4396,60
Male,188,65,18.39,Bulking,2600,45
Female,166,153,55.52,Cutting,3825,60
Female,172,116,39.21,Cutting,2900,60
Male,182,73,22.04,Maintain,2409,30
Male,143,149,72.86,Cutting,4172,60
Male,152,146,63.19,Cutting,4088,60
Female,186,128,37,Cutting,3200,60
Male,159,140,55.38,Cutting,3920,60
Male,146,70,32.84,Cutting,1960,60
Female,176,121,39.06,Cutting,3025,60
Female,146,101,47.38,Cutting,2525,60
Male,159,145,57.36,Cutting,4060,60
Male,162,157,59.82,Cutting,4396,60
Female,172,90,30.42,Cutting,2250,60
Female,169,121,42.37,Cutting,3025,60
Male,182,50,15.09,Bulking,2000,45
Female,183,79,23.59,Maintain,2370,30
Male,176,77,24.86,Maintain,2541,30
Female,188,128,36.22,Cutting,3200,60
Female,175,83,27.1,Cutting,2075,60
Male,154,81,34.15,Cutting,2268,60
Female,184,147,43.42,Cutting,3675,60
Male,179,123,38.39,Cutting,3444,60
Male,152,132,57.13,Cutting,3696,60
Male,179,56,17.48,Bulking,2240,45
Female,145,141,67.06,Cutting,3525,60
Female,181,80,24.42,Maintain,2400,30
Male,158,127,50.87,Cutting,3556,60
Female,188,99,28.01,Cutting,2475,60
Male,145,142,67.54,Cutting,3976,60
Male,161,115,44.37,Cutting,3220,60
Male,198,109,27.8,Cutting,3052,60
Male,147,142,65.71,Cutting,3976,60
Male,154,112,47.23,Cutting,3136,60
Female,178,65,20.52,Maintain,1950,30
Male,195,153,40.24,Cutting,4284,60
Female,167,79,28.33,Cutting,1975,60
Male,183,131,39.12,Cutting,3668,60
Female,164,142,52.8,Cutting,3550,60
Male,167,64,22.95,Maintain,2112,30
Female,151,55,24.12,Maintain,1650,30
Female,147,107,49.52,Cutting,2675,60
Female,155,115,47.87,Cutting,2875,60
Female,172,108,36.51,Cutting,2700,60
Female,142,86,42.65,Cutting,2150,60
Male,146,85,39.88,Cutting,2380,60
Female,188,115,32.54,Cutting,2875,60
Male,173,111,37.09,Cutting,3108,60
Female,160,109,42.58,Cutting,2725,60
Male,187,80,22.88,Maintain,2640,30
Male,198,136,34.69,Cutting,3808,60
Female,179,150,46.82,Cutting,3750,60
Female,164,59,21.94,Maintain,1770,30
Female,146,147,68.96,Cutting,3675,60
Female,198,50,12.75,Bulking,1750,45
Female,170,53,18.34,Bulking,1855,45
Male,152,98,42.42,Cutting,2744,60
Female,150,153,68,Cutting,3825,60
Female,184,121,35.74,Cutting,3025,60
Female,141,136,68.41,Cutting,3400,60
Male,150,95,42.22,Cutting,2660,60
Male,173,131,43.77,Cutting,3668,60
